ID,Name,Age,Nationality,Overall,Club,Value,Pos_simp,Weight,Finishing,Acceleration,Dribbling,Stamina,Strength,Vision,Positioning,GKReflexes,Height_cm
158023,L. Messi,31,Argentina,94,FC Barcelona,€110.5M,ATT,72.12,95.0,91.0,97.0,72.0,59.0,94.0,94.0,8.0,170.18
20801,Cristiano Ronaldo,33,Portugal,94,Juventus,€77M,ATT,83.01,94.0,89.0,88.0,88.0,79.0,82.0,95.0,11.0,187.96
190871,Neymar Jr,26,Brazil,92,Paris Saint-Germain,€118.5M,ATT,68.04,87.0,94.0,96.0,81.0,49.0,87.0,89.0,11.0,175.26
193080,De Gea,27,Spain,91,Manchester United,€72M,GK,76.2,13.0,57.0,18.0,43.0,64.0,68.0,12.0,94.0,193.04
192985,K. De Bruyne,27,Belgium,91,Manchester City,€102M,MID,69.85,82.0,78.0,86.0,90.0,75.0,94.0,87.0,13.0,180.34
183277,E. Hazard,27,Belgium,91,Chelsea,€93M,ATT,73.94,84.0,94.0,95.0,83.0,66.0,89.0,87.0,8.0,172.72
177003,L. Modrić,32,Croatia,91,Real Madrid,€67M,MID,66.22,72.0,80.0,90.0,89.0,58.0,92.0,79.0,9.0,172.72
176580,L. Suárez,31,Uruguay,91,FC Barcelona,€80M,ATT,86.18,93.0,86.0,87.0,90.0,83.0,84.0,92.0,37.0,182.88
155862,Sergio Ramos,32,Spain,91,Real Madrid,€51M,DEF,82.1,60.0,76.0,63.0,84.0,83.0,63.0,60.0,11.0,182.88
200389,J. Oblak,25,Slovenia,90,Atlético Madrid,€68M,GK,87.09,11.0,43.0,12.0,41.0,78.0,70.0,11.0,89.0,187.96
188545,R. Lewandowski,29,Poland,90,FC Bayern München,€77M,ATT,79.83,91.0,77.0,85.0,78.0,84.0,77.0,91.0,10.0,182.88
182521,T. Kroos,28,Germany,90,Real Madrid,€76.5M,MID,76.2,76.0,64.0,81.0,75.0,73.0,86.0,79.0,10.0,182.88
182493,D. Godín,32,Uruguay,90,Atlético Madrid,€44M,DEF,78.02,42.0,68.0,53.0,66.0,88.0,52.0,48.0,15.0,187.96
168542,David Silva,32,Spain,90,Manchester City,€60M,MID,67.13,76.0,70.0,89.0,78.0,52.0,92.0,89.0,12.0,172.72
215914,N. Kanté,27,France,89,Chelsea,€63M,MID,72.12,65.0,82.0,79.0,96.0,76.0,79.0,71.0,10.0,167.64
211110,P. Dybala,24,Argentina,89,Juventus,€89M,ATT,74.84,84.0,87.0,92.0,80.0,65.0,87.0,84.0,8.0,177.8
202126,H. Kane,24,England,89,Tottenham Hotspur,€83.5M,ATT,88.9,94.0,68.0,80.0,89.0,84.0,80.0,93.0,11.0,187.96
